,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
2820,556,g2pre,V1,0.17421895287967126,0.11015944873190178,-0.5783247614003042,-0.018786128713030634,0.0029894976688596307,0.5579551006997763,0.005572226378713211,0.14158271761729851,0.9417223082694982,0.956604730750118,-0.4239249166068769,-0.1132584653870378,-0.40829080494479947,-0.2983689605900624,-0.30171275173687395,-0.3967916954533067,0.11258331192024655,-0.1132584653870378,-0.3967916954533067,-0.009055426031827052,-0.30171275173687395,-0.40829080494479947,7,5,2,6,1,4,3,5,4,0,1,2,
2821,557,g2pre,V1,0.1841287162092906,0.1830912043149668,0.050446861015714245,-0.0195214056604237,0.8280630251876016,0.7823224197045127,0.016914034915113986,0.027300831501117995,0.8823236660484179,0.8970984136675723,1.1887809489397787,1.3150935582023686,1.1432563037154755,0.9589329481940123,0.9919299107040126,1.0127618558097489,-0.12369005054920548,1.3150935582023686,1.0127618558097489,-0.06201201075775341,0.9919299107040126,1.1432563037154755,7,5,2,6,1,4,3,5,4,0,1,2,V
2822,558,g2pre,V1,0.35040622634250085,0.30068230518982614,-0.2196608184143885,-0.0018499778129656733,0.04244605249298488,0.11435249150862337,0.45646776163010383,0.5550229169237283,0.83278332040295,0.9012781886600599,0.3100070024316146,0.19834252843982397,0.30886210830761723,0.0655976137637435,0.17577763183521802,0.2292383059211347,-0.18219040746701273,0.19834252843982397,0.2292383059211347,-0.016037330553867992,0.17577763183521802,0.30886210830761723,6,1,4,7,5,2,0,1,2,3,5,4,V
2823,559,g2pre,V1,0.18785147222970705,0.11164725400286797,-0.13586759984467395,0.010107947580226526,0.09347162732722676,-0.19348077721058868,0.46566228177643826,0.14193737088520264,0.669962818216203,0.7092027834026933,0.16715400606417755,0.12716551865337808,0.17056767915507956,-0.053532712028546064,0.14683761633426845,0.0712430565742003,-0.10542491254822305,0.12716551865337808,0.0712430565742003,0.02901973178455417,0.14683761633426845,0.17056767915507956,6,1,4,7,5,2,0,1,2,3,5,4,
2824,560,g2pre,V1,0.05411896177487943,0.028367031082850012,0.3560868214742595,0.10377830077972372,0.45057022593417784,0.3632121843107985,0.26058470439154807,0.3564295268904556,0.33347939148091416,0.28156623031031836,0.16971443393931065,0.3574200916433997,0.20901871676874353,0.13750547259628845,0.23442481722314948,0.2898151654432481,-0.13537934026720436,0.3574200916433997,0.2898151654432481,-0.11717389321932047,0.23442481722314948,0.20901871676874353,7,5,2,6,1,4,3,5,4,0,1,2,M
2825,561,g2pre,V1,0.05229352932576174,0.23304169019655868,0.11320193122233362,0.13694431323021852,0.6302675789428981,0.5540343064933958,-0.1162902563637522,0.03328555760448116,0.9876923920795023,0.9931165816202456,-0.5355010396618096,-0.6722170610325837,-0.7054409942550668,-0.49702149551919106,-0.39346642674971494,-0.5312480197009841,-0.15245377179899877,-0.6722170610325837,-0.5312480197009841,-0.0024363078158428655,-0.39346642674971494,-0.7054409942550668,6,1,4,7,5,2,0,1,2,3,5,4,V
2826,562,g2pre,V1,0.15627074852967787,0.03733819152913174,0.06597123924937051,0.05689576463849264,0.9678479254125874,0.9624752865085123,0.09351974558732254,0.05307112161597502,0.9844772334288994,0.9853410413484438,1.3973001121639834,1.5946850833262438,1.5658932651372548,1.225289942573462,1.4781113430228718,1.362633967117564,-0.02605507929775103,1.5946850833262438,1.362633967117564,-0.011561925204954651,1.4781113430228718,1.5658932651372548,7,5,2,6,1,4,3,5,4,0,1,2,V
2827,563,g2pre,V1,0.13972867691087443,0.23011076026068913,0.024820988443174624,0.0038245112335509256,0.056078231101981756,-0.12658479713175777,-0.05207072341887377,-0.07173717126172695,0.231420117332583,0.3612734478790101,-0.45411840910020174,-0.4772355345726097,-0.4576053066931482,-0.3818096311815563,-0.3440153968941309,-0.330696459713961,0.4265526896664803,-0.4772355345726097,-0.330696459713961,0.21471414155017068,-0.3440153968941309,-0.4576053066931482,7,5,2,6,1,4,3,5,4,0,1,2,M
2828,564,g2pre,V1,0.2741956351444524,0.06608659835386375,0.1214286357340965,0.08266384880159677,0.5944906476075906,-0.9068533062686112,-0.2837041667653046,-0.9316752052525693,0.18945166898001367,0.7475865043955796,-0.31153278020511344,-0.3976475843641708,-0.36767904372252447,-0.1396635821220275,-0.07793107206368527,-0.004940005212175801,-0.10112935730157067,-0.3976475843641708,-0.004940005212175801,0.0531058991661138,-0.07793107206368527,-0.36767904372252447,6,1,4,7,5,2,0,1,2,3,5,4,
2829,565,g2pre,V1,0.555630180894195,0.018730468002029592,-0.0999147227272855,-0.15927801158480806,0.4612654468964981,0.8455793418226949,-0.0521647935697257,-0.16183673980758034,0.8936271469155809,0.48283635297015565,0.8033503750666051,0.6573999148734433,0.5825990987241954,0.14677351702742378,0.132219883862676,0.10588421361334066,-0.0487463932001131,0.132219883862676,0.5825990987241954,0.036928866739392975,0.6573999148734433,0.10588421361334066,6,1,4,7,5,2,3,5,4,0,1,2,V
