,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
3227,963,g2pre,V1,0.1641734851655927,0.14451665528645188,-0.45176844197309424,-0.9545719920601654,-0.9104327778208187,-0.9356290181669842,-0.8740531708804203,0.2631960261972995,0.545529145806781,0.7654592090060962,-0.19820095516268488,-0.07484665963917779,0.004606570953328235,-0.09663217855971812,-0.006494221545910505,-0.16566873727544548,-0.13851913016703335,-0.006494221545910505,0.004606570953328235,-0.022009048119225064,-0.07484665963917779,-0.16566873727544548,7,5,2,6,1,4,0,1,2,3,5,4,
3228,964,g2pre,V1,1.0694726972674624,0.029655521007920693,-0.0095601533975768,-0.08666057817534972,0.8207896747349839,0.18665743917128486,-0.4426755170521168,-0.2894699457326678,0.07954046489838978,0.8178593009097249,0.98294377647789,0.9643275637585249,0.8261653349033027,0.25130924519395065,0.09708405908484107,0.1384776529429555,-0.09491346461437912,0.9643275637585249,0.1384776529429555,-0.0827777659074791,0.09708405908484107,0.8261653349033027,6,1,4,7,5,2,0,1,2,3,5,4,V
3229,965,g2pre,V1,0.47819244875491373,0.16180509649949,-0.09896002778770603,0.06681265751974456,0.6552305381941969,0.31965841105254833,-0.1864766811079514,-0.20360725514144928,0.6358923892037629,0.8747076568734033,0.9418151678175936,0.7721965232418937,1.076675921687343,0.47150918230732064,0.323296463374679,0.31198423764869043,-0.16084151034143446,0.7721965232418937,0.31198423764869043,-0.07195748548932537,0.323296463374679,1.076675921687343,6,1,4,7,5,2,0,1,2,3,5,4,V
3230,966,g2pre,V1,0.06552529989322911,0.2706746288433249,0.2524551759366037,0.11555285897145604,-0.49515349670459874,-0.15996273594642763,-0.11872435194263284,-0.1996303835276217,0.43887111943775003,-0.13488034052314624,0.18710549656208117,0.3134811988150338,0.23599609511583838,0.13968031209151047,0.11003323324959094,-0.09319193591002459,0.3258744437625131,0.11003323324959094,0.23599609511583838,0.12225094505832297,0.3134811988150338,-0.09319193591002459,6,1,4,7,5,2,3,5,4,0,1,2,M
3231,967,g2pre,V1,0.5628439321960774,0.20699695639774135,-0.10017484061379789,-0.023905752163298405,0.32517254328513107,-0.8240170486799158,-0.015785652257390485,-0.44657305662223895,0.7537704943536326,0.9704654391422651,0.5988971194543266,0.48983368467894417,0.5709314867215493,0.06290580714276181,-0.060950652146588485,0.024066374254902864,0.24944164540695693,0.48983368467894417,0.024066374254902864,-0.00855747601821152,-0.060950652146588485,0.5709314867215493,6,1,4,7,5,2,0,1,2,3,5,4,M
3232,968,g2pre,V1,0.3401233675613192,0.175889210642008,0.06713494545700596,-0.4012046771523,-0.6022412700526476,-0.3867967281540058,0.14181515723441512,0.34097395301108796,0.3351981045431043,-0.2163838732995739,-0.3601993189292061,-0.4120438199365025,-0.15392873788151956,-0.0649538496329641,-0.08642111388572017,-0.13216688612471358,-0.34811926136718213,-0.08642111388572017,-0.15392873788151956,-0.20515870384554122,-0.4120438199365025,-0.13216688612471358,7,5,2,6,1,4,0,1,2,3,5,4,
3233,969,g2pre,V1,0.2268129485999909,0.0694398428650064,-0.007234421326298703,-0.023594968243000936,-0.9754526651267653,-0.04834508421038592,-0.8359527253184272,0.06640525220954399,0.1619129275204405,-0.6197019497404067,-0.20571783605833868,-0.202762715643727,-0.19623379997100407,0.0300627548557297,-0.002686187359561406,0.03433939592088808,0.21617157242847232,-0.002686187359561406,-0.19623379997100407,0.14625262077468973,-0.202762715643727,0.03433939592088808,7,5,2,6,1,4,0,1,2,3,5,4,A
3234,970,g2pre,V1,0.05627871611358126,0.1681040483996449,0.41385076568416446,0.4905249367161083,-0.007705834457713078,0.11480549438760268,0.5717197226819696,0.03692981434841517,0.63040941306453,0.10209356981905686,-0.1157608839357109,-0.2792268671643283,-0.33867110804269207,-0.0721568215777457,-0.26480392772224515,-0.07769066130103644,-0.26891669045256855,-0.26480392772224515,-0.33867110804269207,-0.06329675288701983,-0.2792268671643283,-0.07769066130103644,7,5,2,6,1,4,0,1,2,3,5,4,
3235,971,g2pre,V1,0.37062432749218976,0.023054824327937158,0.08718735029501626,-0.10250768872299627,0.5882276942238758,0.928410965513745,-0.46221959942366053,0.20942556245613894,0.9917754415457853,0.9799161898882328,0.5832774689290209,0.6947010277921477,0.4748148689205497,0.18485639708017196,0.06798715275739528,0.2827944357863186,0.01762670853548285,0.06798715275739528,0.4748148689205497,0.0028686010943308584,0.6947010277921477,0.2827944357863186,7,5,2,6,1,4,0,1,2,3,5,4,V
3236,972,g2pre,V1,0.3331290712708219,0.0342818111656528,0.005904716375593886,0.13849645176087558,0.5013952653040697,0.7290718789443741,0.38001517736676077,0.45612446772719817,0.8271539985291887,0.7736269005259072,-0.3418168809929884,-0.3458775213921562,-0.4517187502685361,-0.09575136952920706,-0.21313157738722133,-0.2563562869011956,0.07077977135951513,-0.21313157738722133,-0.4517187502685361,-0.03271948977447626,-0.3458775213921562,-0.2563562869011956,7,5,2,6,1,4,0,1,2,3,5,4,M
