,Group,Region,Predictor,FR
228,g1pre,V1,Adrive,-0.009356187284504025
229,g1pre,V1,Adrive,-0.010493037419842288
230,g1pre,V1,Adrive,-0.07053243970384153
231,g1pre,V1,Adrive,0.017233881731194493
232,g1pre,V1,Adrive,-0.057207307698192704
233,g1pre,V1,Adrive,-0.07665832406696711
234,g1pre,V1,Adrive,0.10232068833621565
235,g1pre,V1,Adrive,-0.018741829440601546
236,g1pre,V1,Adrive,0.18166491694202086
237,g1pre,V1,Adrive,-0.12099271711101295
238,g1pre,V1,Adrive,0.1734988509704524
239,g1pre,V1,Adrive,0.1166938023730449
240,g1pre,V1,Adrive,-0.07388196388349086
241,g1pre,V1,Adrive,-0.08786960702238719
242,g1pre,V1,Adrive,-0.010012502385468766
243,g1pre,V1,Adrive,-0.04005395751717674
244,g1pre,V1,Adrive,-0.034614495303912654
245,g1pre,V1,Adrive,0.008058764137631133
246,g1pre,V1,Adrive,0.14329109018190772
247,g1pre,V1,Adrive,0.07455538278321051
248,g1pre,V1,Adrive,-0.06027792927810732
249,g1pre,V1,Adrive,-0.13725198954820902
250,g1pre,V1,Adrive,-0.06677880667424921
251,g1pre,V1,Adrive,0.10981770728621384
252,g1pre,V1,Adrive,-0.020204743203487717
253,g1pre,V1,Adrive,-0.08415667977553289
254,g1pre,V1,Adrive,-0.0045775326762759585
255,g1pre,V1,Adrive,0.07120177738149945
256,g1pre,V1,Adrive,0.03774202603862343
257,g1pre,V1,Adrive,-0.0988688966465481
258,g1pre,V1,Adrive,-0.08755193677054189
259,g1pre,V1,Adrive,0.008723338462467527
260,g1pre,V1,Adrive,-0.09703774645906076
261,g1pre,V1,Adrive,-0.0031448507030196193
262,g1pre,V1,Adrive,0.0023614458938562796
263,g1pre,V1,Adrive,0.0018629709244309548
264,g1pre,V1,Adrive,-0.09182354769043556
265,g1pre,V1,Adrive,0.06646992216621453
266,g1pre,V1,Adrive,-0.027951668562036423
267,g1pre,V1,Adrive,0.03477584742779644
268,g1pre,V1,Adrive,-0.0011915673234731926
269,g1pre,V1,Adrive,-0.00017260885208741545
270,g1pre,V1,Adrive,0.02372332462131733
271,g1pre,V1,Adrive,0.015895665734399416
272,g1pre,V1,Adrive,-0.11436475251843956
273,g1pre,V1,Adrive,-0.04374278467630744
274,g1pre,V1,Adrive,-0.07517763462110343
275,g1pre,V1,Adrive,0.08996106432511466
276,g1pre,V1,Adrive,-0.07229327215572316
277,g1pre,V1,Adrive,-0.03529645444397375
278,g1pre,V1,Adrive,-0.03210907381114951
279,g1pre,V1,Adrive,-0.002139709865671987
280,g1pre,V1,Adrive,-0.03225760954040705
281,g1pre,V1,Adrive,-0.03938561238395045
282,g1pre,V1,Adrive,0.042656913023115216
283,g1pre,V1,Adrive,0.04033399485746526
284,g1pre,V1,Adrive,-0.02000842396975367
285,g1pre,V1,Adrive,-0.052013787480061247
286,g1pre,V1,Adrive,0.09696727892033666
287,g1pre,V1,Adrive,0.04151093234784619
288,g1pre,V1,Adrive,0.0640913271659942
289,g1pre,V1,Adrive,0.021629939916159815
290,g1pre,V1,Adrive,-0.03154723489318111
291,g1pre,V1,Adrive,-0.04657285856720258
292,g1pre,V1,Adrive,-0.0734624882718261
293,g1pre,V1,Adrive,-0.015020014519976504
294,g1pre,V1,Adrive,-0.0904938010971948
295,g1pre,V1,Adrive,0.0039874807274919025
296,g1pre,V1,Adrive,-0.09888049859296136
297,g1pre,V1,Adrive,0.03444134203304926
298,g1pre,V1,Adrive,0.16415049437435142
299,g1pre,V1,Adrive,-0.09989347567040427
300,g1pre,V1,Adrive,0.09974419464287107
301,g1pre,V1,Adrive,-0.06136801306014479
302,g1pre,V1,Adrive,0.009457391212811219
303,g1pre,V1,Adrive,0.011074832843564577
304,g1pre,V1,Adrive,0.14955819308009466
305,g1pre,V1,Adrive,0.06487563387691582
306,g1pre,V1,Adrive,0.09499547012354535
307,g1pre,V1,Adrive,0.17600264052408873
308,g1pre,V1,Adrive,0.07499637380188776
309,g1pre,V1,Adrive,0.09732647592914188
310,g1pre,V1,Adrive,-0.003121724838417433
311,g1pre,V1,Adrive,0.05212131015395694
312,g1pre,V1,Adrive,0.19362063504153654
313,g1pre,V1,Adrive,0.04223548092891113
314,g1pre,V1,Adrive,0.07504604309438309
315,g1pre,V1,Adrive,0.3098855897200326
316,g1pre,V1,Adrive,0.09616528549043765
317,g1pre,V1,Adrive,-0.02253934294741522
318,g1pre,V1,Adrive,0.22657184889857723
319,g1pre,V1,Adrive,0.13039967982871456
320,g1pre,V1,Adrive,-0.02136568908058267
321,g1pre,V1,Adrive,0.15253802294461852
322,g1pre,V1,Adrive,0.10087878660505822
323,g1pre,V1,Adrive,0.13291018408885133
324,g1pre,V1,Adrive,-0.09982836172365044
325,g1pre,V1,Adrive,0.05968471621444666
326,g1pre,V1,Adrive,0.15447977479618782
327,g1pre,V1,Adrive,-0.10712461909485096
328,g1pre,V1,Adrive,0.2980116062010865
329,g1pre,V1,Adrive,0.04598411563113388
330,g1pre,V1,Adrive,0.22588430564908607
331,g1pre,V1,Adrive,0.02343858092320505
332,g1pre,V1,Adrive,0.0677507242981202
333,g1pre,V1,Adrive,-0.004161353774165082
334,g1pre,V1,Adrive,-0.07033873859319775
335,g1pre,V1,Adrive,0.03778605417083277
336,g1pre,V1,Adrive,0.13940112527586404
337,g1pre,V1,Adrive,-0.08656167012468927
338,g1pre,V1,Adrive,0.24086971852014222
339,g1pre,V1,Adrive,0.002775951216744678
340,g1pre,V1,Adrive,0.0834159796040953
341,g1pre,V1,Adrive,0.32115567262383843
342,g1pre,V1,Adrive,-0.017875981076603424
343,g1pre,V1,Adrive,0.010297315056543067
344,g1pre,V1,Adrive,-0.1395435416085177
345,g1pre,V1,Adrive,0.20116333243771062
346,g1pre,V1,Adrive,0.11584054898601132
347,g1pre,V1,Adrive,0.23536847185194357
348,g1pre,V1,Adrive,0.06020746463288356
349,g1pre,V1,Adrive,-0.03268855291369962
350,g1pre,V1,Adrive,-0.05918899514647322
351,g1pre,V1,Adrive,-0.15952424659086614
352,g1pre,V1,Adrive,0.12559899450832138
353,g1pre,V1,Adrive,0.5756834464027041
354,g1pre,V1,Adrive,0.04603020111674594
355,g1pre,V1,Adrive,-0.08140698088409325
356,g1pre,V1,Adrive,-0.09169269797638487
357,g1pre,V1,Adrive,0.02259375955613043
358,g1pre,V1,Adrive,-0.03161689292841127
359,g1pre,V1,Adrive,0.23390031762889382
360,g1pre,V1,Adrive,0.1269534148190872
361,g1pre,V1,Adrive,0.027828610240214907
362,g1pre,V1,Adrive,0.13319104291612122
363,g1pre,V1,Adrive,0.0449556114687229
364,g1pre,V1,Adrive,-0.07481857864446308
365,g1pre,V1,Adrive,0.2131501899478837
366,g1pre,V1,Adrive,0.0890203147429557
367,g1pre,V1,Adrive,0.03535369195967791
368,g1pre,V1,Adrive,0.15509668072864
369,g1pre,V1,Adrive,0.21348582021507856
370,g1pre,V1,Adrive,0.2960261446573393
371,g1pre,V1,Adrive,0.10960682743908107
372,g1pre,V1,Adrive,0.27511698706553717
373,g1pre,V1,Adrive,-0.042244690971273535
374,g1pre,V1,Adrive,-0.10372495193815964
375,g1pre,V1,Adrive,0.2662896526723444
376,g1pre,V1,Adrive,-0.10811735138805426
377,g1pre,V1,Adrive,0.019716779123096963
378,g1pre,V1,Adrive,-0.09580940511599004
379,g1pre,V1,Adrive,-0.01651341597981882
380,g1pre,V1,Adrive,0.1661961945752903
381,g1pre,V1,Adrive,0.07666929874785818
382,g1pre,V1,Adrive,0.10159107115914967
383,g1pre,V1,Adrive,0.1215087627669682
384,g1pre,V1,Adrive,0.12018182967804938
385,g1pre,V1,Adrive,0.05773047976337176
386,g1pre,V1,Adrive,0.016386953051198087
387,g1pre,V1,Adrive,0.16721705357305472
388,g1pre,V1,Adrive,-0.09465464919132223
389,g1pre,V1,Adrive,-0.013828787201054493
390,g1pre,V1,Adrive,-0.033124536532450906
391,g1pre,V1,Adrive,0.2513545457728062
392,g1pre,V1,Adrive,0.20590197880280256
393,g1pre,V1,Adrive,0.027329417282768723
394,g1pre,V1,Adrive,-0.05367662382577913
395,g1pre,V1,Adrive,-0.0768128592277792
396,g1pre,V1,Adrive,0.0841821332904572
397,g1pre,V1,Adrive,0.07325344021486002
398,g1pre,V1,Adrive,0.08708549485322607
399,g1pre,V1,Adrive,-0.030890397949261565
400,g1pre,V1,Adrive,0.04367217811727614
401,g1pre,V1,Adrive,-0.07821784894247928
402,g1pre,V1,Adrive,0.05736884316744345
403,g1pre,V1,Adrive,-0.11784275372428064
404,g1pre,V1,Adrive,0.15036836013123514
405,g1pre,V1,Adrive,-0.09253327831254757
406,g1pre,V1,Adrive,-0.09211951976079207
407,g1pre,V1,Adrive,0.08406503914264507
408,g1pre,V1,Adrive,-0.23202651366918145
409,g1pre,V1,Adrive,0.1671044017473074
410,g1pre,V1,Adrive,-0.07825938985941243
411,g1pre,V1,Adrive,-0.06792604086133572
412,g1pre,V1,Adrive,0.3115318171887593
413,g1pre,V1,Adrive,0.05432709692838027
414,g1pre,V1,Adrive,0.30181138583320305
415,g1pre,V1,Adrive,-0.0164684954622835
416,g1pre,V1,Adrive,-0.07140453294151736
417,g1pre,V1,Adrive,0.11135804307920427
418,g1pre,V1,Adrive,-0.08737997432597897
419,g1pre,V1,Adrive,-0.15173320659198808
420,g1pre,V1,Adrive,0.16035330665515882
421,g1pre,V1,Adrive,0.18649768902744077
422,g1pre,V1,Adrive,0.14566007706534817
423,g1pre,V1,Adrive,0.1821076802305566
424,g1pre,V1,Adrive,-0.06594440900951411
425,g1pre,V1,Adrive,0.22779633715365455
426,g1pre,V1,Adrive,0.24030981782413185
427,g1pre,V1,Adrive,0.22372699562877993
428,g1pre,V1,Adrive,-0.061940809757323134
429,g1pre,V1,Adrive,0.6502987896973205
430,g1pre,V1,Adrive,0.006683759828975733
431,g1pre,V1,Adrive,0.0931717779206692
432,g1pre,V1,Adrive,-0.10736422777009334
433,g1pre,V1,Adrive,0.04726120276063466
434,g1pre,V1,Adrive,0.04199467893250472
435,g1pre,V1,Adrive,-0.0038577667785534794
436,g1pre,V1,Adrive,-0.15211123845752003
437,g1pre,V1,Adrive,0.09217742305428699
438,g1pre,V1,Adrive,0.052108401710484635
439,g1pre,V1,Adrive,0.044790996832031076
440,g1pre,V1,Adrive,0.1302638077307482
441,g1pre,V1,Adrive,0.004174036492503341
442,g1pre,V1,Adrive,0.03607145488833261
443,g1pre,V1,Adrive,0.07865323317287103
444,g1pre,V1,Adrive,0.005199538299586858
445,g1pre,V1,Adrive,0.07555090674278395
446,g1pre,V1,Adrive,-0.00032614285774407723
447,g1pre,V1,Adrive,0.12637009213436923
448,g1pre,V1,Adrive,0.10623578757517295
449,g1pre,V1,Adrive,0.1274217547792464
450,g1pre,V1,Adrive,0.15098223755128065
451,g1pre,V1,Adrive,0.14025168519028564
452,g1pre,V1,Adrive,0.03666146248169033
453,g1pre,V1,Adrive,0.05880993815580501
454,g1pre,V1,Adrive,0.052172461893307195
455,g1pre,V1,Adrive,-0.07786724375654556
456,g1pre,V1,Adrive,-0.1322177888018041
457,g1pre,V1,Adrive,0.12988340225214856
458,g1pre,V1,Adrive,0.24849725094993363
459,g1pre,V1,Adrive,0.4037690088591104
460,g1pre,V1,Adrive,0.37421334579618937
461,g1pre,V1,Adrive,0.3484027300375949
462,g1pre,V1,Adrive,0.10673056808995918
463,g1pre,V1,Adrive,0.5136926727590191
464,g1pre,V1,Adrive,-0.22840478419740154
465,g1pre,V1,Adrive,0.8574396750476981
466,g1pre,V1,Adrive,0.3445126148488469
467,g1pre,V1,Adrive,0.3161713720786427
468,g1pre,V1,Adrive,0.4264061040220532
469,g1pre,V1,Adrive,0.271923824061322
470,g1pre,V1,Adrive,0.4623830125833987
471,g1pre,V1,Adrive,0.4918939758317749
472,g1pre,V1,Adrive,-0.13242209996421608
473,g1pre,V1,Adrive,-0.05438382787181176
474,g1pre,V1,Adrive,0.4001549806612052
475,g1pre,V1,Adrive,0.5776751878919224
476,g1pre,V1,Adrive,-0.08778995633361425
477,g1pre,V1,Adrive,0.4007948863052526
478,g1pre,V1,Adrive,0.6314697405480947
479,g1pre,V1,Adrive,-0.18877454611829853
480,g1pre,V1,Adrive,-0.1191308011281711
481,g1pre,V1,Adrive,0.4756781907644619
482,g1pre,V1,Adrive,0.048526671118820364
483,g1pre,V1,Adrive,0.47202535638419973
484,g1pre,V1,Adrive,0.43139593789913316
485,g1pre,V1,Adrive,0.10052002311005503
486,g1pre,V1,Adrive,-0.09595495418986083
487,g1pre,V1,Adrive,0.07810428472716258
488,g1pre,V1,Adrive,0.30317896959365725
489,g1pre,V1,Adrive,-0.12295780722795507
490,g1pre,V1,Adrive,-0.19248965075660945
491,g1pre,V1,Adrive,-0.0021929919956771805
492,g1pre,V1,Adrive,0.28480897693766927
493,g1pre,V1,Adrive,0.005247240554982376
494,g1pre,V1,Adrive,-0.057816783545227186
495,g1pre,V1,Adrive,-0.05405073401465246
496,g1pre,V1,Adrive,0.3290810431843822
497,g1pre,V1,Adrive,0.5828357175517384
498,g1pre,V1,Adrive,0.025103857069498577
499,g1pre,V1,Adrive,-0.10867157059525596
500,g1pre,V1,Adrive,0.17058199368431917
501,g1pre,V1,Adrive,-0.21765037371116114
502,g1pre,V1,Adrive,-0.14278074852197742
503,g1pre,V1,Adrive,0.3291704197871188
504,g1pre,V1,Adrive,-0.17763295565937015
505,g1pre,V1,Adrive,0.0774048414659064
506,g1pre,V1,Adrive,-0.18833099458713293
507,g1pre,V1,Adrive,0.15740045190726387
508,g1pre,V1,Adrive,0.22358182085796863
509,g1pre,V1,Adrive,0.3979455869676214
510,g1pre,V1,Adrive,0.21127109778969053
511,g1pre,V1,Adrive,-0.0653437091804774
512,g1pre,V1,Adrive,0.2471440459500248
513,g1pre,V1,Adrive,-0.5298945513844133
514,g1pre,V1,Adrive,0.38192827665703666
515,g1pre,V1,Adrive,0.44529972002864326
516,g1pre,V1,Adrive,0.5610906316016555
517,g1pre,V1,Adrive,0.2728793895864647
518,g1pre,V1,Adrive,0.08573682272025185
519,g1pre,V1,Adrive,0.6279694176787731
520,g1pre,V1,Adrive,-0.29652254253589294
521,g1pre,V1,Adrive,0.2826001900668941
522,g1pre,V1,Adrive,0.5401886269690609
523,g1pre,V1,Adrive,0.5428417585997897
524,g1pre,V1,Adrive,0.3974810542608176
525,g1pre,V1,Adrive,0.39407172316560163
526,g1pre,V1,Adrive,0.15974445807090223
527,g1pre,V1,Adrive,0.1849218384556585
528,g1pre,V1,Adrive,0.3418784701433727
529,g1pre,V1,Adrive,0.8674840645879314
530,g1pre,V1,Adrive,-0.2539183130275789
531,g1pre,V1,Adrive,-0.27401929015813853
532,g1pre,V1,Adrive,-0.12250764727329098
533,g1pre,V1,Adrive,-0.19908365423630056
534,g1pre,V1,Adrive,0.5337709466794341
535,g1pre,V1,Adrive,0.5662421305200148
536,g1pre,V1,Adrive,0.22755008227348586
537,g1pre,V1,Adrive,0.44361857136381777
538,g1pre,V1,Adrive,0.43418915998497115
539,g1pre,V1,Adrive,0.5446092658079826
540,g1pre,V1,Adrive,0.3603115869463221
541,g1pre,V1,Adrive,0.035699992379084826
542,g1pre,V1,Adrive,-0.1590943503920619
